year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2019,35,HUR007,9.0,2019-08-28,2019-08-26,87.43,105.0,68.0,21.23,5.8,0.01
2019,36,HUR007,0.0,2019-09-04,2019-09-02,87.71,103.0,72.0,26.15,7.17,0.01
2019,37,HUR007,4.0,2019-09-11,2019-09-09,78.29,98.0,60.0,19.35,7.39,0.0
2019,38,HUR007,5.0,2019-09-18,2019-09-16,74.0,94.0,52.0,18.87,9.07,0.0
2019,39,HUR007,11.0,2019-09-25,2019-09-23,73.57,92.0,55.0,31.41,8.87,0.01
2020,38,HUR007,4.0,2020-09-16,2020-09-14,82.14,100.0,63.0,14.82,5.53,0.0
2021,21,HUR007,0.0,2021-05-19,2021-05-17,68.86,94.0,46.0,18.96,11.83,0.01
2021,22,HUR007,0.0,2021-05-25,2021-05-24,75.71,95.0,52.0,12.2,6.24,0.0
2021,24,HUR007,0.0,2021-06-08,2021-06-07,80.57,105.0,58.0,10.22,9.06,0.0
2021,26,HUR007,0.0,2021-06-22,2021-06-21,87.43,106.0,68.0,18.49,9.26,0.01
2021,27,HUR007,0.0,2021-06-29,2021-06-28,87.86,105.0,72.0,22.67,8.24,0.01
2021,29,HUR007,1.0,2021-07-13,2021-07-12,87.71,109.0,69.0,42.67,8.01,0.01
2021,30,HUR007,0.0,2021-07-20,2021-07-19,87.43,103.0,72.0,48.8,6.99,0.0
2021,31,HUR007,0.0,2021-07-28,2021-07-26,84.43,102.0,70.0,50.97,6.57,0.0
2021,32,HUR007,2.0,2021-08-03,2021-08-02,89.71,109.0,67.0,20.41,6.91,0.0
2021,33,HUR007,0.0,2021-08-10,2021-08-09,89.14,105.0,71.0,30.35,7.0,0.0
2021,34,HUR007,12.0,2021-08-17,2021-08-16,83.57,104.0,63.0,33.14,9.8,0.0
2021,35,HUR007,9.0,2021-08-24,2021-08-23,85.0,105.0,64.0,16.53,5.1,0.0
2021,36,HUR007,0.0,2021-08-31,2021-08-30,82.65,103.0,66.0,39.27,5.46,0.0
2021,37,HUR007,0.0,2021-09-08,2021-09-06,87.43,105.0,70.0,23.57,5.31,0.0
2021,38,HUR007,0.0,2021-09-14,2021-09-13,79.71,100.0,60.0,26.2,5.8,0.01
2021,39,HUR007,0.0,2021-09-21,2021-09-20,76.43,94.0,56.0,21.3,5.19,0.0
2021,40,HUR007,13.0,2021-09-28,2021-09-27,71.0,90.0,50.0,29.84,5.99,0.0
2021,41,HUR007,0.0,2021-10-05,2021-10-04,67.0,88.0,49.0,56.54,5.14,0.01
